City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,san quintin,17.54,120.52,77.29,84,91,3.27,PH,1573252463
222,ailigandi,9.23,-78.02,75.9,97,100,1.57,PA,1573252996
223,rzhaksa,52.14,42.03,37.74,95,42,6.2,RU,1573252996
224,luwuk,-0.95,122.79,81.81,71,10,8.23,ID,1573252996
225,novyy urgal,51.07,132.56,4.71,80,0,0.11,RU,1573252996
226,kuusamo,65.96,29.19,10.4,92,90,1.12,FI,1573252831
227,laguna,16.17,-88.94,77.0,94,75,4.7,BZ,1573252434
228,havre-saint-pierre,50.23,-63.6,23.0,57,1,10.29,CA,1573252997
229,college,64.86,-147.8,24.8,67,1,5.82,US,1573252184
230,nhamunda,-2.19,-56.71,83.12,58,86,1.14,BR,1573252997
231,san luis,-33.3,-66.34,74.86,54,100,15.41,AR,1573252426
232,bethel,60.79,-161.76,35.6,92,75,8.05,US,1573252295
233,rocha,-34.48,-54.34,54.86,95,28,7.34,UY,1573252400
234,ribeira grande,38.52,-28.7,66.2,63,75,5.82,PT,1573252399
235,lalmohan,22.34,90.74,73.51,92,100,16.64,BD,1573252998
236,sumenep,-7.02,113.87,84.18,69,61,6.33,ID,1573252998
237,bandarbeyla,9.49,50.81,80.1,76,2,12.35,SO,1573252425
238,salinas,36.67,-121.66,77.0,67,75,9.17,US,1573252998
239,grindavik,63.84,-22.43,42.8,68,75,28.86,IS,1573252998
240,kroya,-6.5,108.06,82.29,60,26,5.77,ID,1573252998
241,kungurtug,50.6,97.53,24.21,80,96,2.21,RU,1573252998
242,east london,-33.02,27.91,63.75,66,71,3.18,ZA,1573252426
243,norman wells,65.28,-126.83,12.2,66,75,11.41,CA,1573252999
244,moerai,-22.43,-151.33,73.15,82,100,11.3,PF,1573252999
245,bullhead city,35.15,-114.57,88.0,10,40,21.92,US,1573252999
246,kamenka,48.03,28.7,54.0,91,50,12.15,MD,1573252999
247,atambua,-9.11,124.89,83.66,58,52,1.21,ID,1573252491
248,do gonbadan,30.36,50.8,59.0,58,0,4.47,IR,1573252999
249,walsrode,52.86,9.59,45.0,93,75,1.12,DE,1573252999
250,charlottesville,38.03,-78.48,39.2,47,1,8.05,US,1573252841
251,lasa,34.92,32.53,68.0,52,0,9.17,CY,1573252406
252,tolosa,-34.9,-57.97,71.01,56,64,10.29,AR,1573253000
253,manicore,-5.81,-61.3,79.14,80,88,3.49,BR,1573253000
254,conceicao do mato dentro,-19.04,-43.42,68.52,87,28,3.24,BR,1573253000
255,lavrentiya,65.58,-170.99,27.45,94,100,13.76,RU,1573252416
